FID,STATION_NAME,LOCAL_TRIP_START_TIME,IMOS_SITE_CODE,NRS_TRIP_CODE,NRS_SAMPLE_CODE,UTC_TRIP_START_TIME,LATITUDE,LONGITUDE,MG_PER_M3,geom
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d8a,North Stradbroke,2015-01-19 10:35,NRSNSI,NRSNSI20150119,NRSNSI20150119_ZOOBIOWC,2015-01-19T00:35:00,-27.345,153.562,12.5829,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d89,North Stradbroke,2015-03-04 10:30,NRSNSI,NRSNSI20150304,NRSNSI20150304_ZOOBIOWC,2015-03-04T00:30:00,-27.345,153.562,6.3011,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d88,North Stradbroke,2015-03-23 11:40,NRSNSI,NRSNSI20150323,NRSNSI20150323_ZOOBIOWC,2015-03-23T01:40:00,-27.345,153.562,16.222,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d87,North Stradbroke,2015-05-12 10:15,NRSNSI,NRSNSI20150512,NRSNSI20150512_ZOOBIOWC,2015-05-12T00:15:00,-27.345,153.562,9.6895,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d86,North Stradbroke,2015-05-28 10:15,NRSNSI,NRSNSI20150528,NRSNSI20150528_ZOOBIOWC,2015-05-28T00:15:00,-27.345,153.562,9.3937,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d85,North Stradbroke,2015-06-24 10:30,NRSNSI,NRSNSI20150624,NRSNSI20150624_ZOOBIOWC,2015-06-24T00:30:00,-27.345,153.562,8.9501,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d84,North Stradbroke,2015-07-31 10:15,NRSNSI,NRSNSI20150731,NRSNSI20150731_ZOOBIOWC,2015-07-31T00:15:00,-27.345,153.562,14.0552,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d83,North Stradbroke,2015-08-17 10:30,NRSNSI,NRSNSI20150817,NRSNSI20150817_ZOOBIOWC,2015-08-17T00:30:00,-27.345,153.562,15.5791,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d82,North Stradbroke,2015-09-07 10:40,NRSNSI,NRSNSI20150907,NRSNSI20150907_ZOOBIOWC,2015-09-07T00:40:00,-27.345,153.562,13.7531,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--5dc4962a_16a9b174f18_-5d81,North Stradbroke,2015-10-27 10:50,NRSNSI,NRSNSI20151027,NRSNSI20151027_ZOOBIOWC,2015-10-27T00:50:00,-27.345,153.562,4.893,POINT (153.562 -27.345)
